I0,I1,I2,I3,I4,I5,I6,I7,I8
0.001,-0.001,-0.001,-0.010,0.093,1.009,0.472,4.585,0.015
0.001,0.000,-0.001,-0.010,0.093,1.009,0.475,4.601,0.015
0.001,0.000,0.001,-0.010,0.093,1.009,0.477,4.617,0.015
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.480,4.632,0.015
-0.002,-0.001,0.002,-0.010,0.093,1.009,0.481,4.646,0.015
-0.000,0.000,-0.001,-0.010,0.093,1.008,0.483,4.660,0.016
-0.002,-0.001,0.001,-0.010,0.093,1.008,0.485,4.673,0.016
-0.000,0.000,0.001,-0.010,0.093,1.009,0.485,4.687,0.016
-0.000,0.000,0.001,-0.010,0.093,1.009,0.488,4.700,0.016
0.001,0.000,0.001,-0.010,0.093,1.009,0.489,4.713,0.017
-0.000,0.000,0.001,-0.010,0.093,1.009,0.490,4.727,0.017
-0.000,-0.001,-0.002,-0.010,0.093,1.009,0.491,4.739,0.017
0.001,0.000,-0.001,-0.010,0.093,1.009,0.492,4.750,0.017
0.001,0.002,0.001,-0.010,0.093,1.009,0.493,4.763,0.017
-0.002,0.000,0.001,-0.010,0.093,1.009,0.495,4.774,0.017
-0.002,-0.002,-0.001,-0.010,0.093,1.009,0.496,4.783,0.017
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.497,4.794,0.016
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.498,4.804,0.016
-0.000,0.002,0.001,-0.010,0.094,1.009,0.499,4.815,0.016
-0.000,-0.001,0.001,-0.010,0.094,1.009,0.500,4.826,0.016
-0.000,0.000,-0.001,-0.009,0.093,1.009,0.501,4.836,0.015
-0.000,0.000,-0.001,-0.009,0.093,1.009,0.501,4.845,0.016
-0.002,0.003,0.001,-0.010,0.093,1.009,0.504,4.854,0.016
-0.003,0.000,0.001,-0.010,0.093,1.010,0.505,4.862,0.017
-0.002,0.000,-0.001,-0.010,0.093,1.010,0.506,4.870,0.017
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.508,4.879,0.017
-0.003,-0.002,-0.001,-0.010,0.093,1.009,0.508,4.886,0.016
-0.002,0.000,0.001,-0.010,0.093,1.009,0.510,4.894,0.017
-0.000,0.003,-0.001,-0.010,0.093,1.009,0.512,4.902,0.017
0.001,-0.002,-0.001,-0.010,0.094,1.009,0.513,4.911,0.017
-0.000,0.002,-0.001,-0.010,0.094,1.009,0.514,4.920,0.016
-0.002,0.000,-0.001,-0.009,0.093,1.009,0.514,4.928,0.016
-0.000,0.002,0.001,-0.009,0.093,1.009,0.513,4.935,0.017
0.001,0.002,0.001,-0.009,0.093,1.009,0.513,4.943,0.017
0.001,-0.001,0.001,-0.010,0.093,1.010,0.513,4.951,0.017
0.001,0.000,-0.001,-0.010,0.093,1.010,0.514,4.958,0.017
-0.000,-0.001,0.002,-0.010,0.093,1.009,0.514,4.965,0.018
0.002,0.000,0.002,-0.010,0.093,1.009,0.514,4.972,0.019
0.001,0.000,0.001,-0.010,0.093,1.010,0.515,4.979,0.019
0.001,-0.001,-0.001,-0.010,0.093,1.010,0.516,4.986,0.019
0.001,0.000,-0.001,-0.010,0.093,1.009,0.516,4.992,0.018
-0.000,-0.001,-0.001,-0.010,0.093,1.009,0.516,4.999,0.018
0.001,0.002,0.001,-0.010,0.093,1.009,0.518,5.004,0.019
0.001,0.000,-0.002,-0.010,0.093,1.009,0.519,5.010,0.018
0.001,-0.001,-0.001,-0.010,0.093,1.009,0.519,5.016,0.018
-0.000,-0.001,0.001,-0.010,0.093,1.009,0.520,5.022,0.018
-0.000,-0.001,0.001,-0.010,0.093,1.009,0.520,5.027,0.018
0.001,0.000,-0.001,-0.010,0.094,1.009,0.520,5.032,0.019
-0.000,0.000,-0.001,-0.010,0.094,1.009,0.522,5.038,0.018
-0.002,0.000,-0.001,-0.010,0.093,1.009,0.523,5.043,0.018
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.523,5.047,0.018
0.001,-0.001,0.001,-0.010,0.094,1.009,0.524,5.052,0.018
0.002,0.000,0.001,-0.010,0.094,1.009,0.525,5.058,0.018
0.001,0.000,0.001,-0.010,0.093,1.009,0.526,5.063,0.018
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.527,5.067,0.019
-0.002,-0.001,0.001,-0.010,0.093,1.009,0.527,5.072,0.019
0.001,0.000,-0.001,-0.009,0.094,1.010,0.526,5.076,0.019
0.001,-0.001,0.001,-0.009,0.094,1.010,0.526,5.081,0.019
-0.000,0.000,0.001,-0.010,0.093,1.009,0.526,5.085,0.020
0.001,-0.001,0.002,-0.010,0.093,1.009,0.525,5.089,0.020
-0.000,-0.001,0.002,-0.009,0.093,1.009,0.525,5.092,0.021
0.001,0.000,-0.001,-0.009,0.093,1.009,0.525,5.096,0.021
-0.002,0.000,0.001,-0.010,0.093,1.009,0.525,5.098,0.021
0.001,0.000,0.001,-0.010,0.093,1.009,0.526,5.102,0.022
0.001,0.000,-0.001,-0.010,0.093,1.009,0.526,5.105,0.022
0.001,-0.001,-0.001,-0.010,0.093,1.009,0.526,5.109,0.021
0.001,-0.001,-0.001,-0.010,0.093,1.009,0.527,5.113,0.021
-0.000,0.000,0.001,-0.010,0.093,1.009,0.527,5.116,0.021
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.527,5.119,0.021
-0.002,0.000,0.002,-0.009,0.093,1.009,0.528,5.122,0.022
0.001,-0.002,-0.001,-0.009,0.093,1.009,0.527,5.126,0.022
-0.002,0.000,0.001,-0.010,0.093,1.009,0.528,5.128,0.022
-0.002,-0.001,-0.001,-0.010,0.093,1.009,0.528,5.130,0.022
0.001,-0.001,-0.001,-0.009,0.094,1.009,0.527,5.133,0.022
0.001,0.000,0.001,-0.009,0.094,1.009,0.527,5.136,0.022
0.001,0.000,0.001,-0.010,0.093,1.009,0.527,5.140,0.022
0.002,0.000,0.001,-0.010,0.093,1.009,0.527,5.143,0.023
-0.000,0.000,0.001,-0.010,0.093,1.009,0.528,5.145,0.023
0.001,-0.001,-0.001,-0.010,0.093,1.009,0.528,5.147,0.023
0.001,-0.001,0.001,-0.010,0.093,1.009,0.528,5.149,0.023
0.002,-0.001,0.001,-0.010,0.094,1.009,0.528,5.152,0.023
-0.000,-0.001,-0.001,-0.010,0.094,1.009,0.529,5.154,0.023
-0.000,0.000,0.001,-0.010,0.093,1.009,0.530,5.156,0.023
0.001,-0.001,0.001,-0.010,0.093,1.009,0.530,5.159,0.024
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.531,5.160,0.024
0.001,0.000,-0.001,-0.010,0.093,1.009,0.531,5.162,0.024
-0.000,-0.001,0.001,-0.009,0.093,1.009,0.531,5.164,0.024
-0.000,0.002,-0.001,-0.009,0.093,1.009,0.531,5.166,0.023
-0.000,0.000,0.001,-0.009,0.094,1.009,0.530,5.169,0.023
0.001,-0.001,0.001,-0.010,0.093,1.009,0.530,5.172,0.023
0.001,0.000,0.001,-0.010,0.093,1.009,0.530,5.173,0.024
-0.000,0.000,-0.001,-0.010,0.093,1.009,0.531,5.175,0.023
-0.000,0.002,0.001,-0.010,0.093,1.009,0.533,5.175,0.024
-0.000,-0.001,0.001,-0.010,0.093,1.008,0.534,5.177,0.024
