I0,I1,I2,I3,I4,I5,I6,I7,I8
0.001,-0.001,0.000,0.000,0.906,-0.373,7.055,111.789,-115.271
-0.000,-0.000,0.000,0.001,0.907,-0.373,6.991,111.805,-115.206
-0.001,0.001,0.000,0.001,0.907,-0.372,6.953,111.812,-115.129
0.001,-0.000,-0.001,0.001,0.907,-0.373,6.884,111.823,-115.025
-0.001,-0.000,0.000,0.001,0.907,-0.373,6.891,111.826,-114.998
-0.001,-0.000,0.001,0.002,0.906,-0.372,6.884,111.825,-114.963
0.002,0.001,0.000,0.001,0.906,-0.373,6.905,111.816,-115.019
-0.001,-0.001,-0.001,0.001,0.906,-0.373,6.932,111.809,-115.092
-0.001,-0.000,0.000,0.001,0.906,-0.372,6.968,111.801,-115.136
-0.000,-0.001,-0.001,0.002,0.906,-0.372,6.941,111.805,-115.134
-0.000,-0.000,-0.001,0.002,0.906,-0.372,6.919,111.814,-115.069
0.001,0.001,0.000,0.001,0.906,-0.372,6.941,111.806,-115.144
-0.000,-0.000,0.000,0.001,0.906,-0.372,6.880,111.819,-115.089
-0.003,-0.000,0.000,0.001,0.906,-0.372,6.907,111.809,-115.187
-0.000,0.001,-0.001,0.001,0.906,-0.372,6.948,111.799,-115.260
-0.000,-0.000,0.000,0.001,0.907,-0.373,6.945,111.800,-115.264
-0.001,0.001,-0.001,0.001,0.906,-0.372,6.938,111.801,-115.279
0.001,-0.000,0.000,0.001,0.906,-0.372,6.997,111.786,-115.374
-0.001,-0.000,0.001,0.001,0.906,-0.372,6.938,111.801,-115.324
0.001,-0.000,0.000,0.001,0.906,-0.372,6.941,111.798,-115.366
-0.001,-0.000,0.000,0.001,0.906,-0.372,6.977,111.792,-115.364
0.001,-0.001,0.000,0.001,0.906,-0.372,7.008,111.786,-115.361
-0.000,-0.000,0.000,0.001,0.906,-0.373,6.980,111.791,-115.351
-0.000,-0.001,0.001,0.001,0.906,-0.373,6.997,111.789,-115.393
-0.001,0.001,0.000,0.001,0.906,-0.373,7.013,111.790,-115.422
0.001,-0.001,0.000,0.001,0.906,-0.373,7.016,111.795,-115.397
-0.000,-0.001,-0.001,0.001,0.906,-0.373,6.927,111.819,-115.261
-0.003,0.001,0.000,0.002,0.907,-0.373,6.910,111.822,-115.260
-0.003,-0.001,0.000,0.002,0.906,-0.372,6.923,111.818,-115.263
-0.001,-0.000,0.000,0.002,0.906,-0.372,6.946,111.814,-115.252
-0.000,-0.000,-0.002,0.001,0.906,-0.372,6.883,111.823,-115.216
-0.001,-0.001,0.000,0.001,0.907,-0.372,6.871,111.827,-115.142
-0.000,-0.000,0.000,0.001,0.906,-0.372,6.954,111.807,-115.172
-0.000,-0.001,-0.001,0.001,0.906,-0.372,7.040,111.781,-115.320
0.001,-0.000,0.001,0.001,0.906,-0.372,7.021,111.776,-115.389
-0.003,0.002,0.001,0.001,0.906,-0.372,6.973,111.782,-115.407
0.001,-0.000,-0.001,0.001,0.906,-0.372,6.985,111.781,-115.446
-0.000,0.001,0.001,0.001,0.906,-0.372,6.936,111.798,-115.338
0.002,-0.000,-0.001,0.002,0.906,-0.373,6.931,111.798,-115.362
-0.000,-0.001,-0.001,0.002,0.906,-0.373,6.878,111.816,-115.265
-0.003,-0.003,-0.001,0.002,0.906,-0.373,6.850,111.830,-115.195
0.001,-0.001,-0.002,0.002,0.906,-0.373,6.785,111.854,-115.088
-0.001,-0.001,-0.001,0.001,0.906,-0.373,6.809,111.849,-115.124
-0.003,-0.000,0.001,0.001,0.906,-0.373,6.834,111.843,-115.159
-0.000,-0.001,0.000,0.002,0.906,-0.372,6.868,111.835,-115.168
-0.001,-0.000,0.000,0.001,0.906,-0.372,6.902,111.830,-115.145
0.001,-0.001,-0.001,0.001,0.906,-0.372,6.854,111.832,-115.180
-0.001,-0.000,-0.001,0.001,0.907,-0.373,6.837,111.834,-115.195
-0.000,-0.004,0.000,0.001,0.907,-0.373,6.846,111.835,-115.189
0.002,-0.000,-0.001,0.001,0.907,-0.373,6.884,111.827,-115.204
-0.001,-0.001,-0.001,0.001,0.907,-0.373,6.866,111.836,-115.114
0.001,-0.001,0.000,0.001,0.906,-0.372,6.882,111.834,-115.073
-0.001,-0.000,-0.001,0.001,0.906,-0.372,6.920,111.821,-115.108
-0.001,-0.000,0.000,0.001,0.906,-0.372,6.941,111.815,-115.113
-0.000,-0.001,0.000,0.001,0.906,-0.372,6.978,111.806,-115.120
-0.000,-0.003,0.000,0.001,0.906,-0.372,7.039,111.790,-115.160
-0.000,-0.000,0.000,0.001,0.907,-0.372,7.084,111.773,-115.215
0.002,-0.001,0.000,0.002,0.907,-0.373,6.989,111.792,-115.136
-0.001,0.001,0.001,0.002,0.907,-0.373,7.018,111.790,-115.148
0.001,0.001,0.000,0.002,0.906,-0.372,7.047,111.783,-115.211
-0.001,-0.001,-0.001,0.001,0.907,-0.372,7.052,111.781,-115.194
-0.000,-0.000,-0.001,0.001,0.906,-0.373,7.050,111.785,-115.171
-0.000,-0.000,0.000,0.001,0.906,-0.373,7.041,111.791,-115.196
0.001,-0.001,0.000,0.001,0.907,-0.372,7.009,111.794,-115.178
